pts;ritter;toussaint
182016;6;2379
182272;6;2510
182528;6;2536
182784;6;2496
183040;6;2501
183296;6;2473
183552;6;2495
183808;6;2448
184064;6;2544
184320;6;2579
184576;6;2480
184832;6;2600
185088;6;2651
185344;5;2643
185600;6;2582
185856;6;2539
186112;6;2549
186368;7;2560
186624;6;2560
186880;6;2587
187136;5;2599
187392;6;2596
187648;6;2606
187904;6;2716
188160;6;2644
188416;6;2618
188672;7;2635
188928;5;2643
189184;6;2652
189440;6;2669
189696;6;2658
189952;7;2627
190208;5;2630
190464;7;2661
190720;7;2673
190976;6;2678
191232;6;2762
191488;6;2722
191744;5;2740
192000;6;2754
192256;7;2666
192512;6;2678
192768;5;2660
193024;6;2673
193280;6;2701
193536;6;2762
193792;6;2726
194048;6;2732
194304;6;2772
194560;6;2805
194816;6;2826
195072;6;2797
195328;6;2800
195584;6;2812
195840;6;2854
196096;6;2842
196352;6;2803
196608;6;2923
196864;6;2830
197120;7;2934
197376;8;2880
197632;6;2847
197888;6;2861
198144;6;2848
198400;6;2853
198656;7;2900
198912;6;2824
199168;6;2901
199424;7;3009
199680;7;2970
199936;6;3000
200192;7;2954
200448;6;2965
200704;7;3010
200960;7;3009
201216;7;3009
201472;7;3012
201728;7;3081
201984;7;3077
202240;7;3033
202496;7;3069
202752;6;3035
203008;7;3017
203264;8;3140
203520;6;3162
203776;7;3191
204032;7;3382
204288;7;3231
204544;7;3224
204800;6;3140
205056;8;3101
205312;6;3069
205568;7;3110
205824;6;3087
206080;6;3231
206336;8;3322
206592;7;3300
206848;7;3349
207104;6;3244
207360;7;3188
207616;7;3173
207872;7;3351
208128;7;3272
208384;6;3299
208640;7;3210
208896;6;3170
209152;7;3211
209408;7;3157
209664;7;3159
209920;7;3208
210176;6;3214
210432;6;3313
210688;7;3264
210944;7;3272
211200;7;3255
211456;7;3251
211712;7;3288
211968;7;3276
212224;7;3290
212480;6;3301
212736;7;3331
212992;8;3327
213248;7;3342
213504;7;3380
213760;7;3363
214016;7;3355
214272;8;3368
214528;7;3437
214784;7;3448
215040;7;3475
215296;7;3408
215552;8;3455
215808;7;3448
216064;7;3435
216320;7;3414
216576;7;3473
216832;7;3411
217088;6;3438
217344;10;3493
217600;7;3438
217856;7;3470
218112;7;3577
218368;7;3540
218624;7;3551
218880;7;3502
219136;8;3534
219392;7;3573
219648;7;3566
219904;7;3624
220160;7;3660
220416;7;3614
220672;6;3607
220928;6;3701
221184;10;3706
221440;8;3577
221696;7;3665
221952;8;3639
222208;8;3673
222464;7;3686
222720;7;3687
222976;7;3757
223232;7;3858
223488;8;3900
223744;8;3938
224000;7;3850
224256;8;4004
224512;8;4013
224768;8;4041
225024;7;3884
225280;8;3903
225536;8;4172
225792;8;4084
226048;8;4081
226304;8;4027
226560;8;4024
226816;8;4055
227072;8;4000
227328;7;4028
227584;8;4039
227840;9;4024
228096;7;4077
228352;8;4099
228608;8;4102
228864;8;4116
229120;8;4070
229376;7;4112
229632;9;4128
229888;8;4134
230144;8;4140
230400;8;4194
230656;8;4167
230912;8;4153
231168;9;4175
231424;8;4165
231680;8;4172
231936;8;4245
232192;8;4234
232448;8;4232
232704;8;4207
232960;8;4211
233216;8;4222
233472;8;4234
233728;7;4222
233984;8;4234
234240;8;4269
234496;9;4300
234752;8;4309
235008;8;4377
235264;7;4298
235520;9;4336
235776;8;4238
236032;8;4289
236288;7;4312
236544;8;4318
236800;9;4302
237056;9;4326
237312;9;4338
237568;8;4331
237824;9;4363
238080;9;4442
238336;9;4454
238592;8;4531
238848;8;4646
239104;11;4520
239360;10;4566
239616;9;4595
239872;7;4563
240128;8;4403
240384;9;4594
240640;9;4575
240896;9;4548
241152;9;4543
241408;8;4578
241664;9;4602
241920;8;4654
242176;9;4676
242432;8;4672
242688;8;4728
242944;10;4795
243200;10;4697
243456;8;4845
243712;10;4927
243968;10;4813
244224;8;4839
244480;10;4785
244736;10;4853
244992;10;4811
245248;9;4809
245504;8;4811
245760;9;4832
246016;9;4875
246272;8;4863
246528;9;4868
246784;9;4880
247040;12;4922
247296;9;4942
247552;10;4949
247808;9;4949
248064;8;4885
248320;7;4969
248576;9;4965
248832;12;4931
249088;9;4892
249344;9;4958
249600;9;4949
249856;9;5062
250112;9;4937
250368;9;4878
250624;8;4896
250880;8;4887
251136;8;5092
251392;9;4929
251648;8;4842
251904;9;4889
252160;9;4903
252416;9;4924
252672;9;4903
252928;9;4875
253184;22;5077
253440;10;4939
253696;9;4852
253952;9;5063
254208;10;5034
254464;9;5156
254720;10;5317
254976;7;4946
255232;9;5103
255488;10;4915
255744;8;4991
256000;9;5158
256256;9;4942
256512;8;5145
256768;8;5104
257024;8;5197
257280;9;5124
257536;10;5246
257792;9;5468
258048;11;5463
258304;9;5450
258560;9;5423
258816;9;5399
259072;10;5407
259328;10;5413
259584;9;5432
259840;10;5455
260096;9;5486
260352;11;5543
260608;9;5557
260864;10;5485
261120;9;5556
261376;11;5569
261632;9;5564
261888;10;5552
262144;10;5565
262400;9;5590
262656;10;5631
262912;10;5602
263168;10;5697
263424;9;5696
263680;10;5725
263936;12;5618
264192;13;5620
264448;9;5626
264704;9;5683
264960;10;5676
265216;9;5670
265472;10;5617
265728;8;5644
265984;11;5629
266240;9;5516
266496;10;5497
266752;11;5449
267008;10;5435
267264;9;5623
267520;9;5669
267776;9;5625
268032;13;5743
268288;11;5752
268544;10;5561
268800;10;5553
269056;11;5658
269312;9;5560
269568;9;5579
269824;10;5799
270080;8;5528
270336;10;5667
270592;9;5637
270848;10;5566
271104;9;5836
271360;9;5898
271616;10;5633
271872;10;5667
272128;9;5613
272384;10;5815
272640;10;6033
272896;10;5978
273152;11;5885
273408;9;5639
273664;9;5643
273920;9;5659
274176;9;5661
274432;9;5701
