toussaint;ritter
189952;5;2462
190208;4;2558
190464;5;2470
190720;4;2446
190976;5;2493
191232;5;2451
191488;4;2482
191744;4;2473
192000;5;2471
192256;4;2467
192512;4;2479
192768;4;2495
193024;5;2501
193280;4;2515
193536;5;2525
193792;4;2507
194048;4;2532
194304;5;2519
194560;5;2530
194816;4;2538
195072;5;2550
195328;4;2612
195584;5;2582
195840;5;2555
196096;5;2561
196352;4;2599
196608;6;2701
196864;6;2636
197120;4;2650
197376;5;2669
197632;5;2653
197888;5;2644
198144;4;2634
198400;4;2682
198656;5;2668
198912;4;2648
199168;4;2663
199424;5;2695
199680;5;2700
199936;4;2702
200192;5;2708
200448;4;2698
200704;4;2713
200960;5;2722
201216;5;2746
201472;5;2760
201728;5;2837
201984;5;2813
202240;5;2879
202496;7;2807
202752;5;2796
203008;5;2774
203264;4;2816
203520;5;2840
203776;5;2822
204032;5;2864
204288;5;2797
204544;5;2830
204800;5;2824
205056;5;2842
205312;5;2836
205568;4;2854
205824;5;2871
206080;5;2853
206336;5;2880
206592;5;2886
206848;5;2937
207104;5;2911
207360;6;2920
207616;5;2904
207872;5;2931
208128;5;2936
208384;5;2944
208640;5;3009
208896;5;2968
209152;5;2950
209408;5;2973
209664;5;3018
209920;5;3001
210176;5;2996
210432;6;3029
210688;5;3002
210944;5;3014
211200;5;3047
211456;6;3030
211712;5;3058
211968;5;3025
212224;5;3055
212480;6;3059
212736;5;3096
212992;5;3153
213248;5;3196
213504;5;3108
213760;5;3107
214016;5;3182
214272;6;3238
214528;6;3253
214784;5;3131
215040;5;3141
215296;5;3141
215552;5;3182
215808;5;3179
216064;5;3192
216320;5;3160
216576;5;3221
216832;6;3288
217088;5;3215
217344;6;3271
217600;6;3252
217856;6;3238
218112;5;3236
218368;5;3293
218624;6;3327
218880;5;3273
219136;5;3262
219392;5;3267
219648;6;3313
219904;6;3291
220160;6;3389
220416;5;3312
220672;8;3311
220928;5;3299
221184;5;3309
221440;6;3313
221696;5;3339
221952;6;3350
222208;6;3392
222464;5;3360
222720;5;3382
222976;5;3449
223232;5;3454
223488;5;3373
223744;6;3380
224000;5;3405
224256;5;3431
224512;6;3452
224768;6;3539
225024;5;3468
225280;6;3467
225536;5;3449
225792;6;3491
226048;6;3506
226304;5;3480
226560;5;3496
226816;6;3513
227072;6;3511
227328;6;3526
227584;6;3511
227840;5;3515
228096;5;3506
