toussaint,ritter,,,,,
70400,2,274,,369920,13,14327
70656,1,280,,370176,13,14358
70912,1,309,,370432,13,14353
71168,1,288,,370688,12,14348
71424,1,299,,370944,13,14322
71680,2,298,,371200,13,14330
71936,2,295,,371456,13,14345
72192,2,291,,371712,13,14427
72448,1,303,,371968,13,14435
72704,2,308,,372224,13,14430
72960,1,308,,372480,13,14453
73216,2,306,,372736,13,14467
73472,1,320,,372992,13,14474
73728,2,314,,373248,13,14490
73984,1,327,,373504,13,14501
74240,1,331,,373760,13,14497
74496,1,322,,374016,13,14523
74752,1,319,,374272,13,14527
75008,2,327,,374528,12,14549
75264,2,323,,374784,13,14553
75520,2,342,,375040,15,14573
75776,2,330,,375296,13,14583
76032,1,338,,375552,13,14594
76288,1,345,,375808,13,14614
76544,1,337,,376064,12,14620
76800,2,333,,376320,13,14564
77056,2,336,,376576,13,14571
77312,2,336,,376832,13,14580
77568,1,346,,377088,13,14604
77824,2,355,,377344,13,14605
78080,1,347,,377600,13,14621
78336,2,351,,377856,13,14638
78592,2,359,,378112,14,14640
78848,2,371,,378368,13,14664
79104,2,372,,378624,13,14674
79360,2,385,,378880,13,14690
79616,2,362,,379136,13,14692
79872,1,365,,379392,13,14715
80128,2,365,,379648,13,14815
80384,2,381,,379904,14,14734
80640,2,382,,380160,13,14742
80896,2,391,,380416,13,14761
81152,2,391,,380672,13,14767
81408,2,385,,380928,14,14849
81664,2,419,,381184,13,14879
81920,2,408,,381440,13,14881
82176,2,446,,381696,15,14895
82432,2,411,,381952,13,14912
82688,2,412,,382208,13,14925
82944,2,417,,382464,14,14945
83200,2,409,,382720,13,14951
83456,2,415,,382976,14,14961
83712,2,429,,383232,14,14982
83968,2,444,,383488,14,14995
84224,2,453,,383744,13,15004
84480,2,428,,384000,13,15022
84736,2,424,,384256,14,15038
84992,2,447,,384512,13,14970
85248,2,460,,384768,13,14993
85504,2,476,,385024,14,15016
85760,2,453,,385280,13,15028
86016,2,451,,385536,14,15038
86272,2,463,,385792,13,15130
86528,2,461,,386048,14,15133
86784,2,457,,386304,14,15137
87040,3,482,,386560,13,15165
87296,3,476,,386816,13,15172
87552,2,483,,387072,13,15186
87808,2,490,,387328,13,15203
88064,3,516,,387584,13,15138
88320,2,468,,387840,13,15156
88576,3,496,,388096,13,15172
88832,3,511,,388352,14,15169
89088,2,507,,388608,13,15180
89344,2,498,,388864,13,15198
89600,3,495,,389120,13,15207
89856,2,490,,389376,13,15220
90112,3,484,,389632,13,15236
90368,2,503,,389888,13,15245
90624,2,500,,390144,14,15260
90880,2,504,,390400,14,15275
91136,3,503,,390656,14,15284
91392,2,512,,390912,14,15306
91648,2,499,,391168,14,15336
91904,2,502,,391424,14,15344
92160,2,507,,391680,14,15362
92416,2,515,,391936,13,15366
92672,2,515,,392192,14,15362
92928,2,516,,392448,14,15382
93184,2,566,,392704,13,15395
93440,3,549,,392960,14,15404
93696,2,542,,393216,13,15423
93952,2,537,,393472,13,15430
94208,2,541,,393728,14,15446
94464,2,556,,393984,13,15453
94720,3,533,,394240,13,15485
94976,2,555,,394496,14,15482
95232,2,539,,394752,14,15496
95488,2,548,,395008,14,15514
95744,2,574,,395264,13,15526
96000,3,568,,395520,13,15538
96256,2,561,,395776,14,15559
96512,2,560,,396032,14,15563
96768,2,567,,396288,14,15581
97024,2,573,,396544,13,15600
97280,3,586,,396800,14,15600
97536,2,586,,397056,14,15614
97792,2,594,,397312,14,15634
98048,3,601,,397568,14,15641
98304,2,589,,397824,13,15657
98560,3,591,,398080,14,15678
98816,2,595,,398336,14,15770
99072,2,598,,398592,14,15796
99328,2,600,,398848,15,15811
99584,3,609,,399104,14,15793
99840,2,634,,399360,14,15817
100096,3,615,,399616,14,15841
100352,3,632,,399872,14,15839
100608,2,665,,400128,14,15848
100864,2,649,,400384,14,15804
101120,2,655,,400640,14,15884
101376,2,639,,400896,14,15857
101632,2,632,,401152,17,15828
101888,3,659,,401408,14,15847
102144,3,645,,401664,14,15856
102400,3,663,,401920,14,15850
102656,3,681,,402176,14,15892
102912,2,662,,402432,14,15900
103168,3,669,,402688,14,15912
103424,2,660,,402944,14,15929
103680,2,683,,403200,13,15951
103936,3,670,,403456,15,15976
104192,3,688,,403712,15,16056
104448,3,699,,403968,14,16075
104704,3,698,,404224,14,16091
104960,3,692,,404480,15,16104
105216,3,683,,404736,14,16119
105472,3,687,,404992,14,16122
105728,2,690,,405248,14,16141
105984,2,695,,405504,14,16137
106240,2,702,,405760,14,16074
106496,2,698,,406016,14,16099
106752,3,699,,406272,14,16125
107008,3,714,,406528,18,16129
107264,2,716,,406784,14,16139
107520,2,710,,407040,14,16150
107776,2,720,,407296,14,16169
108032,3,728,,407552,14,16189
108288,3,724,,407808,14,16202
108544,2,745,,408064,15,16206
